	GeneID	count	gene_symbol
25768	728642	92	CDK11A
25769	728643	3	HNRNPA1P33
25770	728655	92	HULC
25771	728656	6	DMRTC1B
25772	728658	1	RPL13AP5
25773	728661	10	SLC35E2B
25774	728673	2	FAM88B
25775	728688	1	LOC728688
25776	728689	53	EIF3CL
25777	728693	1	RPL21P105
25778	728695	21	SPANXB1
25779	728700	2	RPS3AP19
25780	728710	2	FAM177A1P1
25781	728712	18	SPANXA2
25782	728715	2	LOC728715
25783	728716	2	LINC01346
25784	728723	6	ZBED3-AS1
25785	728724	3	LINC00977
25786	728730	2	MAP4K3-DT
25787	728734	2	NPIPB8
25788	728739	2	LOC728739
25789	728741	5	NPIPB6
25790	728743	4	LOC728743
25791	728746	3	FAM90A17
25792	728747	3	ANKRD20A4P
25793	728753	2	FAM90A19
25794	728755	5	MIR3171HG
25795	728758	3	PIN4P1
25796	728763	5	CROCC2
25797	728769	2	SCAMP1-AS1
25798	728770	1	DNM1P5
25799	728773	8	PABPC1P2
25800	728774	2	RPS15AP25
25801	728776	2	HMGN1P37
25802	728780	4	ANKDD1B
25803	728782	1	RPL21P134
25804	728791	2	RPS10P4
25805	728798	3	FRMPD2B
25806	728806	1	NSFP1
25807	728819	3	C1GALT1C1L
25808	728820	1	RPL29P15
25809	728823	1	RPS26P53
25810	728833	7	FAM72D
25811	728841	10	NBPF8
25812	728843	1	RPL7P20
25813	728851	1	HMGN1P36
25814	728853	1	LOC728853
25815	728855	4	LINC00623
25816	728858	1	C12orf71
25817	728873	1	PTMAP8
25818	728882	4	FAM182B
25819	728888	2	NPIPB11
25820	728911	8	CT45A2
25821	728917	1	ABHD17AP1
25822	728927	5	ZNF736
25823	728929	2	ELOA3BP
25824	728931	1	AMD1P3
25825	728933	1	RPL23AP60
25826	728937	3	RPS26P25
25827	728938	1	SUB1P1
25828	728945	4	PPIAL4F
25829	728953	2	RPS19P3
25830	728957	4	ZNF705D
25831	728962	1	RPL7P56
25832	728963	1	RPS15AP10
25833	728970	2	PPP1R2P4
25834	728971	1	RPS27AP7
25835	728978	9	UNC5B-AS1
25836	728979	2	RPL10AP9
25837	728989	1	LOC728989
25838	728992	1	RPL7AP11
25839	729004	2	RPL9P2
25840	729012	1	SKA2P1
25841	729020	7	RPEL1
25842	729025	6	SLC15A5
25843	729041	2	FAAHP1
25844	729042	1	RPL29P3
25845	729073	2	CIBAR1P1
25846	729075	1	RPL36AP23
25847	729079	1	RPSAP21
25848	729082	68	OIP5-AS1
25849	729083	1	CCDC13-AS2
25850	729085	10	GASK1A
25851	729092	6	AGAP5
25852	729096	2	BMS1P4
25853	729097	1	RPS4XP14
25854	729121	2	RGPD4-AS1
25855	729123	1	RPL7P21
25856	729138	1	RPLP1P2
25857	729146	1	RPL9P28
25858	729150	1	RPS3AP14
25859	729156	5	GTF2IRD1P1
25860	729159	2	NPAP1L
25861	729171	1	ANKRD20A8P
25862	729176	1	KATNBL1P6
25863	729177	17	NBAT1
25864	729178	7	STXBP5-AS1
25865	729188	1	RPS26P58
25866	729200	1	LOC729200
25867	729201	4	SPACA5B
25868	729203	1	RPL31P30
25869	729208	1	RPL21P14
25870	729209	2	RPSAP26
25871	729211	2	KRT18P15
25872	729212	1	RPL13AP26
25873	729215	1	RPL32P29
25874	729217	1	LOC729217
25875	729218	2	LOC729218
25876	729224	4	KIAA2012-AS1
25877	729230	533	CCR2
25878	729233	2	PRR20B
25879	729234	2	FAHD2CP
25880	729236	1	RPS13P2
25881	729238	60	SFTPA2
