candidate_gene,neighbors,neighbors_in_seed,neighbors_divide_by_interactome_size,neighbors_in_seed_divide_by_seed_size,ratios,p_value,fdr_bh
MAPK12,234,5,0.012569832402234637,0.04950495049504951,3.9383938393839384,0.002,0.0037139437462597245
RPS4X,259,5,0.013912763214439192,0.04950495049504951,3.5582399938835585,0.002,0.0037139437462597245
PPIA,170,5,0.009131929522990976,0.04950495049504951,5.421083284799068,0.002,0.0037139437462597245
ATF4,223,5,0.011978942844864632,0.04950495049504951,4.132664387514985,0.002,0.0037139437462597245
RPL7,244,5,0.01310700472711646,0.04950495049504951,3.7769842558026294,0.002,0.0037139437462597245
GAPDH,277,5,0.014879673399226473,0.04950495049504951,3.3270186224398612,0.002,0.0037139437462597245
RBX1,231,5,0.01240868070477009,0.04950495049504951,3.9895418113239898,0.002,0.0037139437462597245
SIRT6,198,4,0.010636012032660078,0.039603960396039604,3.7235723572357236,0.002,0.0037139437462597245
GOPC,153,4,0.008218736570691878,0.039603960396039604,4.818740697599171,0.002,0.0037139437462597245
TUBB8,139,4,0.007466695315857327,0.039603960396039604,5.304081487285419,0.002,0.0037139437462597245
PDLIM7,183,4,0.009830253545337344,0.039603960396039604,4.0287832061894715,0.002,0.0037139437462597245
RUNX1T1,125,4,0.006714654061022776,0.039603960396039604,5.898138613861386,0.002,0.0037139437462597245
RPS6KA3,141,4,0.007574129780833692,0.039603960396039604,5.228846288884207,0.002,0.0037139437462597245
MYO6,128,4,0.006875805758487323,0.039603960396039604,5.75990099009901,0.002,0.0037139437462597245
IRF3,194,4,0.010421143102707349,0.039603960396039604,3.8003470450137797,0.002,0.0037139437462597245
MLF1,142,4,0.007627847013321874,0.039603960396039604,5.192023427694882,0.002,0.0037139437462597245
VAV2,205,4,0.011012032660077354,0.039603960396039604,3.5964259840618205,0.002,0.0037139437462597245
FKBP5,153,4,0.008218736570691878,0.039603960396039604,4.818740697599171,0.002,0.0037139437462597245
CD79B,181,4,0.00972281908036098,0.039603960396039604,4.073300147694328,0.002,0.0037139437462597245
MCRS1,189,4,0.010152556940266438,0.039603960396039604,3.900885326627901,0.002,0.0037139437462597245
