genes,final_score,initial_score,degree_in_disease,degree_in_background,degree_in_disease_normalized,publications,final_rank,source
SKP1,0.0013739494521489573,0.0,0.08294209702660407,0.013053287494628276,6.35412,505.0,205,first neighbor
DDB1,0.001373277477191408,0.0,0.09076682316118936,0.014342501074344649,6.32852,531.0,206,first neighbor
PTPN6,0.0013701149206896772,0.0,0.09389671361502347,0.014879673399226473,6.3104,433.0,207,first neighbor
SMC1A,0.0013699360917568814,0.0,0.09389671361502347,0.019069617533304686,4.92389,266.0,208,first neighbor
CDK5,0.0013644288451868612,0.0,0.08763693270735524,0.012086377309840997,7.25089,423.0,209,first neighbor
YBX1,0.0013602919087860317,0.0,0.09076682316118936,0.018210141813493768,4.98441,607.0,210,first neighbor
AKT3,0.0013514432184256592,0.0,0.09389671361502347,0.009669101847872797,9.71101,230.0,211,first neighbor
LIMA1,0.0013340335356912445,0.0,0.08607198748043819,0.014396218306832832,5.97879,134.0,212,first neighbor
CDK8,0.0013339602985386495,0.0,0.08294209702660407,0.007359260850880962,11.27044,160.0,213,first neighbor
FLT3,0.0013123945803452072,0.0,0.07355242566510173,0.005747743876235496,12.79675,791.0,214,first neighbor
TP53BP1,0.0013109989822793844,0.0,0.08763693270735524,0.01020627417275462,8.58657,404.0,215,first neighbor
RBPJ,0.0013099218695558613,0.0,0.08450704225352113,0.010904598195100989,7.74967,211.0,216,first neighbor
FRS2,0.0013085190723318733,0.0,0.07198748043818466,0.0040825096691018475,17.63314,112.0,217,first neighbor
SPTAN1,0.0013045020910179006,0.0,0.09389671361502347,0.011334336055006446,8.28427,248.0,218,first neighbor
TUBB,0.0013025352559171742,0.0,0.08294209702660407,0.019391920928233778,4.27715,381.0,219,first neighbor
SKP2,0.001301848073918328,0.0,0.09389671361502347,0.011602922217447357,8.09251,544.0,220,first neighbor
SMAD1,0.0012998981124476756,0.0,0.08450704225352113,0.012354963472281908,6.83993,292.0,221,first neighbor
